,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
30-Jul,75,65,30,55,30,30,25,55,55,5,45,45,0,2,35,72,10,0,55,6,47,14,5,74,6,0
31-Jul,75,60,20,55,25,30,30,55,55,5,45,45,8,0,30,90,10,0,50,12,52,12,5,84,12,0
1-Aug,75,60,20,55,30,30,30,50,50,5,40,40,15,0,30,90,8,30,50,12,52,10,5,89,50,0
2-Aug,75,60,15,60,80,30,30,30,50,5,45,35,12,0,25,80,8,30,40,12,50,8,4,93,30,6
3-Aug,75,60,15,60,80,35,30,30,70,5,45,35,13,0,45,70,8,15,40,6,51,6,4,105,37,10
4-Aug,70,60,15,70,80,35,30,30,70,5,40,35,15,0,55,60,8,12,40,5,48,6,5,110,37,24
5-Aug,60,65,20,70,80,35,30,30,70,5,40,35,15,12,55,60,6,5,40,5,48,5,5,110,37,22
6-Aug,65,70,15,70,75,35,35,30,85,5,40,35,10,10,55,30,6,5,35,5,38,4,5,122,37,22
7-Aug,70,80,30,80,75,35,35,0,85,5,40,35,11,10,55,30,6,5,30,5,30,2,18,137,39,22
8-Aug,80,95,30,80,75,45,35,0,85,10,35,30,8,8,55,25,6,30,30,3,28,12,30,142,45,22
9-Aug,80,95,30,80,65,45,35,0,85,10,45,25,8,8,50,35,6,25,25,8,25,25,32,146,50,20
10-Aug,80,95,20,80,65,45,45,0,75,10,60,25,6,8,53,35,4,20,35,8,20,25,30,146,48,6
11-Aug,80,95,25,80,70,30,45,0,75,10,70,20,6,15,50,35,4,12,37,8,18,25,30,146,47,10
12-Aug,100,95,25,80,85,25,45,15,75,10,70,15,5,32,50,38,5,10,39,7,15,33,26,146,47,10
13-Aug,90,90,30,80,60,27,35,20,65,5,70,15,3,30,45,30,40,8,40,13,10,38,25,146,48,8
14-Aug,85,90,20,80,60,27,45,20,70,5,70,20,2,25,55,25,41,6,40,25,10,36,23,145,49,5
15-Aug,85,90,20,70,60,28,45,20,70,5,68,20,2,25,65,30,42,3,45,25,8,34,23,143,50,4
16-Aug,85,90,15,70,60,28,45,20,70,3,68,20,0,25,65,30,40,2,45,25,8,30,18,143,50,0
17-Aug,80,90,3,70,50,25,49,20,80,0,68,15,0,12,65,30,35,5,47,20,12,25,18,142,50,3
18-Aug,85,100,3,80,35,25,49,20,80,0,73,12,2,12,65,35,35,8,47,20,10,30,22,135,49,0
19-Aug,100,120,2,80,35,35,49,20,80,0,73,12,0,10,65,35,35,22,35,15,8,28,27,130,49,0
20-Aug,100,120,10,80,25,38,49,10,85,0,73,10,0,8,65,35,25,22,37,8,6,34,28,125,49,0
21-Aug,100,120,10,70,25,45,50,0,85,0,73,12,0,5,60,30,25,45,25,8,6,30,28,95,47,0
22-Aug,100,120,10,70,25,45,45,0,85,0,75,8,0,7,55,25,25,60,25,5,4,25,25,85,47,0
23-Aug,100,120,10,60,25,50,45,0,85,2,77,8,0,7,50,20,25,65,30,5,5,20,22,80,47,0
24-Aug,100,120,10,60,25,50,50,0,85,0,75,5,0,5,45,20,10,65,30,5,6,50,20,75,50,0
25-Aug,100,120,15,60,15,50,50,0,95,10,70,4,0,5,45,20,10,60,40,4,5,60,15,70,49,0
26-Aug,100,120,15,60,15,40,50,0,95,15,70,4,0,5,35,30,10,50,35,4,4,70,12,60,47,0
27-Aug,100,120,20,50,15,40,45,0,100,10,70,4,0,5,30,40,10,50,30,0,4,70,11,50,47,0
28-Aug,100,130,20,45,15,40,45,0,100,10,65,0,0,4,25,40,10,45,30,0,3,70,10,40,47,0
29-Aug,100,130,15,55,15,35,45,0,100,5,65,0,0,4,20,40,8,45,25,0,4,70,8,40,36,0
30-Aug,100,130,15,40,15,30,45,0,100,0,60,0,0,0,15,30,8,45,25,0,2,70,8,39,30,0
31-Aug,90,130,15,55,15,30,55,0,100,0,50,0,0,0,15,35,7,40,25,0,0,70,7,35,20,0
1-Sep,90,125,15,55,10,20,60,0,100,0,50,0,0,7,15,45,6,30,25,0,0,45,7,37,15,0
2-Sep,90,125,15,55,12,15,60,0,90,0,48,0,0,6,15,45,5,25,25,0,0,45,7,35,15,0
3-Sep,90,120,10,40,15,0,60,0,90,0,48,0,0,5,15,40,4,20,25,0,0,20,10,30,14,5
4-Sep,90,120,10,40,25,0,50,0,80,0,45,0,0,5,20,40,4,15,20,0,0,15,8,30,14,0
5-Sep,90,110,10,50,25,0,50,0,70,0,45,0,0,4,12,40,4,15,20,0,0,10,7,36,14,0
6-Sep,80,130,0,50,25,0,45,0,70,0,45,0,0,0,10,40,4,15,25,0,0,10,7,55,8,0
