LAKE MOUNTAIN,,,,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2018 Natural Snow Depth,2018 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2014 Natural Snow Depth,2014 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2013 Natural Snow Depth,2013 Average depth in snow-making area (3 ha),+ means that snowmaking depth is = or > than natural snow depth,2012 Natural Snow Depth,2012 Average depth in snow-making area (3 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (3 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (3 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (3 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (3 ha),,2007 Natural Snow Depth,2007 Average depth in snow-making area (3 ha),,2006 Natural Snow Depth,2006 Average depth in snow-making area (3 ha),,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,21/6,,19.00,2,30,30,,0,20,,0,25,+,0,30,,0,45,,,,,0,30,,8,15,+,0,10,+,10,15,+,0,0,,10,15,,0,10,,3,,,55,,0,7,15,8,0,6,0,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,22/6,,17.50,4,25,25,,0,20,,,,,0,30,,0,45,,,,,0,30,,30,30,+,0,10,+,7,10,+,0,0,,30,25,,0,5,,4,,,40,4,0,5,15,8,1,4,0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,23/6,,19.50,5,25,25,,0,20,,0,20,+,0,30,,0,40,,,,,10,35,,30,30,+,0,10,+,5,10,+,0,0,,30,30,,0,3,,4,,,40,17,0,5,15,8,1,3,0,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,24/6,,20.50,6,18,35,,1,20,,10,25,+,0,25,,15,50,,,,,10,35,,20,30,+,0,10,+,5,10,+,0,0,,25,30,,0,2,,0,,,25,10,0,5,15,8,8,0,0,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,25/6,,20.80,6,18,35,,1,30,,15,30,+,0,25,,15,40,,,,,10,35,,15,30,+,0,8,+,0,10,+,0,0,,25,30,,1,2,,0,,,25,10,0,5,12,8,33,3,0,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun,26/6,26-Jun,19.50,5,15,35,,0,30,,15,30,+,0,25,,15,30,,,,,8,30,+,10,30,+,5,10,+,0,10,+,0,0,,25,30,,0,2,,0,,,55,8,4,3,10,0,25,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,27/6,,23.00,5,15,40,,0,30,,15,30,+,0,25,,10,30,,0,35,,8,30,+,10,30,+,5,10,+,0,10,+,0,0,,25,30,,0,2,,0,,,55,5,2,3,10,0,33,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,28/6,,24.00,5,15,40,,0,30,,15,30,+,0,20,,15,30,,0,35,,8,30,+,10,30,+,0,20,+,0,15,+,0,0,,15,25,,0,2,,0,,,45,3,30,3,10,0,30,0,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,29/6,,25.00,6,15,40,,0,30,,10,20,+,0,20,,30,50,,0,35,,8,30,+,8,30,+,0,20,+,0,15,+,0,0,,15,20,,0,2,,0,,,45,0,40,3,12,0,32,0,0,15,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun,30/6,,25.00,7,15,45,,2,35,,8,20,+,0,20,,40,40,,0,35,,0,30,+,5,30,+,10,30,+,0,10,+,0,0,,10,20,,0,2,,0,,,45,0,45,3,12,0,32,0,0,17,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul,1/7,,29.00,9,10,45,,2,35,,15,30,+,0,30,,40,50,,0,30,,8,35,+,5,30,+,15,50,+,0,0,,0,0,,25,20,,0,0,,0,,,45,0,40,0,10,0,34,0,0,30,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,2/7,,30.00,9,10,45,,0,40,,10,30,+,0,30,,35,50,,0,30,,20,40,+,5,30,+,15,50,+,0,0,,3,0,,15,20,,0,0,,0,,,30,0,30,0,8,2,30,0,0,40,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
