,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
28-Jul,59,39,22,61,70,10,25,45,22,35,45,102,0,0,57,42,32,0,55,0,60,15,20,69,15,0
29-Jul,59,36,22,61,60,6,25,45,20,30,47,104,0,0,58,53,30,0,55,0,72,22,17,76,10,0
30-Jul,59,31,18,62,55,2,33,45,20,18,47,104,0,0,58,68,25,0,55,0,73,23,13,88,10,0
31-Jul,59,29,14,67,44,2,39,43,18,16,47,104,0,0,58,100,22,0,55,10,76,23,13,88,20,0
1-Aug,60,27,12,67,60,2,39,45,11,16,47,104,10,0,58,100,19,23,54,10,77,24,10,90,22,1
2-Aug,59,27,15,65,74,2,48,48,35,14,55,102,10,0,58,95,17,23,55,10,75,24,8,93,32,5
3-Aug,59,24,13,75,74,12,48,40,31,13,55,102,10,0,59,85,15,16,52,10,75,24,7,104,37,10
4-Aug,59,22,12,88,78,17,48,38,29,13,55,102,18,2,60,75,14,16,49,13,74,24,7,106,40,21
5-Aug,59,30,12,93,74,17,48,32,29,12,55,115,25,25,62,65,12,12,47,13,74,24,12,108,40,21
6-Aug,59,35,12,93,68,3,53,14,41,12,55,115,25,22,62,60,12,12,45,7,66,24,12,115,37,21
7-Aug,59,37,15,91,66,3,53,15,51,10,55,115,25,20,62,58,10,15,42,7,62,20,27,145,39,21
8-Aug,59,48,15,87,50,12,53,15,53,17,57,110,30,20,62,56,8,22,37,7,57,28,40,145,46,22
9-Aug,59,53,13,87,45,12,60,15,53,17,60,95,30,18,60,68,7,22,25,7,56,37,55,150,56,20
10-Aug,59,51,12,87,42,12,60,13,55,18,60,80,30,22,64,78,7,18,35,3,56,37,55,150,57,15
11-Aug,59,50,20,87,62,7,60,13,55,18,64,70,30,35,60,78,7,14,35,0,55,34,30,150,57,20
12-Aug,70,45,20,82,65,7,60,12,59,14,67,61,30,45,60,73,8,8,38,0,48,46,25,145,57,20
13-Aug,70,38,18,82,65,12,60,14,55,12,72,69,30,42,56,59,28,8,36,4,48,42,18,140,60,21
14-Aug,70,34,16,82,65,8,59,14,55,12,72,76,30,36,61,40,30,8,40,19,43,41,11,135,66,20
15-Aug,70,32,12,75,60,13,59,14,55,12,76,76,30,33,61,45,34,6,44,26,41,43,15,133,69,12
16-Aug,70,28,11,75,58,13,61,14,44,12,76,76,25,43,84,46,34,3,50,26,43,40,15,126,69,8
17-Aug,70,24,10,75,54,10,61,15,59,12,88,76,25,40,84,46,34,3,51,24,43,35,15,121,69,12
18-Aug,70,22,6,75,50,12,64,12,59,8,90,71,25,40,84,50,30,8,50,20,46,35,17,112,70,10
19-Aug,80,34,5,75,48,9,64,11,60,0,95,65,25,30,84,50,30,17,50,20,43,40,32,105,70,0
20-Aug,80,44,3,75,55,20,64,11,65,0,95,60,25,22,82,50,30,10,50,18,42,37,37,100,65,0
21-Aug,80,45,3,75,53,32,62,13,68,0,95,60,20,18,80,50,28,22,48,19,41,34,43,95,65,0
22-Aug,80,47,10,60,53,33,57,13,73,0,113,60,20,30,80,50,26,42,45,15,30,33,40,85,60,0
23-Aug,80,43,10,55,50,33,52,5,73,0,120,60,20,25,65,47,26,60,47,15,25,30,42,83,57,0
24-Aug,80,40,10,50,47,24,57,5,73,0,120,60,20,20,60,40,26,60,47,10,22,50,32,83,63,0
